GO	Term	1	2	3	4	5	6	7	8	9	10	11
GO:0003677	DNA binding	NA	NA	NA	NA	NA	NA	NA	2.6143375856267e-06	0.000561247322435035	NA	NA
GO:0070026	nitric oxide binding	NA	NA	NA	NA	NA	NA	NA	0.000337938462119365	NA	NA	NA
GO:0003676	nucleic acid binding	NA	NA	NA	NA	NA	NA	NA	NA	1.22455719145155e-07	NA	3.25491963300209e-05
GO:0003712	transcription cofactor activity	NA	NA	NA	NA	NA	NA	NA	NA	3.30227417994855e-05	NA	NA
GO:0000989	transcription factor activity, transcription factor binding	NA	NA	NA	NA	NA	NA	NA	NA	4.58503947360117e-05	NA	NA
GO:1901363	heterocyclic compound binding	NA	NA	NA	NA	NA	NA	NA	NA	6.65091687550747e-05	NA	0.000906047534948563
GO:0032182	ubiquitin-like protein binding	NA	NA	NA	NA	NA	NA	NA	NA	6.65091687550747e-05	NA	NA
GO:0044822	poly(A) RNA binding	NA	NA	NA	NA	NA	NA	NA	NA	9.85230762461654e-05	NA	NA
GO:0097159	organic cyclic compound binding	NA	NA	NA	NA	NA	NA	NA	NA	0.00010688165946166	NA	0.000418986558595618
GO:0008266	poly(U) RNA binding	NA	NA	NA	NA	NA	NA	NA	NA	0.000279330837484557	NA	NA
GO:0003723	RNA binding	NA	NA	NA	NA	NA	NA	NA	NA	0.000367598478316522	NA	0.00098828936568939
GO:0008187	poly-pyrimidine tract binding	NA	NA	NA	NA	NA	NA	NA	NA	0.000406612063074279	NA	NA
GO:0001071	nucleic acid binding transcription factor activity	NA	NA	NA	NA	NA	NA	NA	NA	0.000406612063074279	NA	NA
GO:0003700	transcription factor activity, sequence-specific DNA binding	NA	NA	NA	NA	NA	NA	NA	NA	0.000406612063074279	NA	NA
GO:0003727	single-stranded RNA binding	NA	NA	NA	NA	NA	NA	NA	NA	0.000529908960452793	NA	NA
GO:0030628	pre-mRNA 3'-splice site binding	NA	NA	NA	NA	NA	NA	NA	NA	0.000561247322435035	NA	NA
GO:0043130	ubiquitin binding	NA	NA	NA	NA	NA	NA	NA	NA	0.000928419043879063	NA	NA
GO:0003714	transcription corepressor activity	NA	NA	NA	NA	NA	NA	NA	NA	0.000971376885524428	NA	NA
GO:0016874	ligase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.66335917842549e-07	NA
GO:0019787	ubiquitin-like protein transferase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.60388501081013e-05	NA
GO:0004842	ubiquitin-protein transferase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.09166474463947e-05	NA
GO:0061630	ubiquitin protein ligase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000741400704486368	NA
GO:0061659	ubiquitin-like protein ligase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000741400704486368	NA
GO:0004372	glycine hydroxymethyltransferase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000741400704486368	NA
GO:0004615	phosphomannomutase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000741400704486368	NA
GO:0004793	threonine aldolase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000741400704486368	NA
GO:0008732	L-allo-threonine aldolase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000741400704486368	NA
GO:0005484	SNAP receptor activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.74286423329546e-14
GO:0000149	SNARE binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.78790926913586e-07
GO:0050786	RAGE receptor binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000203079746080891
GO:0032934	sterol binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000303628020745416
GO:0008200	ion channel inhibitor activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00034746588349591
GO:0016248	channel inhibitor activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000378986464029871
GO:0003735	structural constituent of ribosome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000393887053372416
GO:0015485	cholesterol binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000418986558595618
GO:0044020	histone methyltransferase activity (H4-R3 specific)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000508617921305319
GO:0019869	chloride channel inhibitor activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000565598510379533
GO:0008565	protein transporter activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000885452357484888
GO:0042054	histone methyltransferase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000885452357484888
GO:0004749	ribose phosphate diphosphokinase activity	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000906047534948563
GO:0008289	lipid binding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000906047534948563
